Time (min),Cell pot(V),Curr den (A/m^2),Capacity,Energy,Power
0.0,4.15667,8.75,0.0,41.03,42.1
0.0,4.14582,8.75,0.0,41.03,42.1
0.0,4.14582,8.75,0.0,41.03,42.1
0.0,4.14582,8.75,0.0,41.03,42.1
0.0,4.14255,8.75,0.0,41.03,42.1
0.001,4.14255,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.14255,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.14041,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.14041,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.14041,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.13871,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.13871,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.13871,8.75,1.4583333333333335e-05,41.03,42.1
0.001,4.13725,8.75,1.4583333333333335e-05,41.03,42.1
0.002,4.13725,8.75,2.916666666666667e-05,41.03,42.1
0.002,4.13725,8.75,2.916666666666667e-05,41.03,42.1
0.002,4.13592,8.75,2.916666666666667e-05,41.03,42.1
0.002,4.13592,8.75,2.916666666666667e-05,41.03,42.1
0.002,4.13592,8.75,2.916666666666667e-05,41.03,42.1
0.002,4.13468,8.75,2.916666666666667e-05,41.03,42.1
0.003,4.13468,8.75,4.375e-05,41.03,42.1
0.003,4.13468,8.75,4.375e-05,41.03,42.1
0.003,4.1335,8.75,4.375e-05,41.03,42.1
0.003,4.1335,8.75,4.375e-05,41.03,42.1
0.003,4.1335,8.75,4.375e-05,41.03,42.1
0.003,4.13235,8.75,4.375e-05,41.03,42.1
0.004,4.13235,8.75,5.833333333333334e-05,41.03,42.1
0.004,4.13235,8.75,5.833333333333334e-05,41.03,42.1
0.004,4.13123,8.75,5.833333333333334e-05,41.03,42.1
0.005,4.13123,8.75,7.291666666666667e-05,41.03,42.1
0.005,4.13123,8.75,7.291666666666667e-05,41.03,42.1
0.005,4.13011,8.75,7.291666666666667e-05,41.03,42.1
0.006,4.13011,8.75,8.75e-05,41.03,42.1
0.006,4.13011,8.75,8.75e-05,41.03,42.1
0.006,4.129,8.75,8.75e-05,41.03,42.1
0.006999999999999999,4.129,8.75,0.00010208333333333333,41.03,42.1
0.006999999999999999,4.129,8.75,0.00010208333333333333,41.03,42.1
0.006999999999999999,4.12789,8.75,0.00010208333333333333,41.03,42.1
0.006999999999999999,4.12789,8.75,0.00010208333333333333,41.03,42.1
0.006999999999999999,4.12789,8.75,0.00010208333333333333,41.03,42.1
0.006999999999999999,4.12677,8.75,0.00010208333333333333,41.03,42.1
0.009000000000000001,4.12677,8.75,0.00013125000000000002,41.03,42.1
0.009000000000000001,4.12677,8.75,0.00013125000000000002,41.03,42.1
0.009000000000000001,4.12563,8.75,0.00013125000000000002,41.03,42.1
0.01,4.12563,8.75,0.00014583333333333335,41.03,42.1
0.01,4.12563,8.75,0.00014583333333333335,41.03,42.1
0.01,4.12447,8.75,0.00014583333333333335,41.03,42.1
0.011000000000000001,4.12447,8.75,0.0001604166666666667,41.03,42.1
0.011000000000000001,4.12447,8.75,0.0001604166666666667,41.03,42.1
0.011000000000000001,4.1233,8.75,0.0001604166666666667,41.03,42.1
0.012,4.1233,8.75,0.000175,41.03,42.1
0.012,4.1233,8.75,0.000175,41.03,42.1
0.012,4.12209,8.75,0.000175,41.03,42.1
0.013999999999999999,4.12209,8.75,0.00020416666666666665,41.03,42.1
0.013999999999999999,4.12209,8.75,0.00020416666666666665,41.03,42.1
0.013999999999999999,4.1208599999999995,8.75,0.00020416666666666665,41.03,42.1
0.016,4.1208599999999995,8.75,0.00023333333333333336,41.03,42.1
0.016,4.1208599999999995,8.75,0.00023333333333333336,41.03,42.1
0.016,4.1195900000000005,8.75,0.00023333333333333336,41.03,42.1
0.017,4.1195900000000005,8.75,0.0002479166666666667,41.03,42.1
0.017,4.1195900000000005,8.75,0.0002479166666666667,41.03,42.1
0.017,4.11829,8.75,0.0002479166666666667,41.03,42.1
0.019,4.11829,8.75,0.00027708333333333334,41.03,42.1
0.019,4.11829,8.75,0.00027708333333333334,41.03,42.1
0.019,4.11696,8.75,0.00027708333333333334,41.03,42.1
0.022000000000000002,4.11696,8.75,0.0003208333333333334,41.03,42.1
0.022000000000000002,4.11696,8.75,0.0003208333333333334,41.03,42.1
0.022000000000000002,4.1155800000000005,8.75,0.0003208333333333334,41.03,42.1
0.024,4.1155800000000005,8.75,0.00035,41.03,42.1
0.024,4.1155800000000005,8.75,0.00035,41.03,42.1
0.024,4.11415,8.75,0.00035,41.03,42.1
0.027000000000000003,4.11415,8.75,0.00039375,41.03,42.1
0.027000000000000003,4.11415,8.75,0.00039375,41.03,42.1
0.027000000000000003,4.11268,8.75,0.00039375,41.03,42.1
0.03,4.11268,8.75,0.0004375,41.03,42.1
0.03,4.11268,8.75,0.0004375,41.03,42.1
0.03,4.11116,8.75,0.0004375,41.03,42.1
0.033,4.11116,8.75,0.00048125,41.03,42.1
0.033,4.11116,8.75,0.00048125,41.03,42.1
0.033,4.10959,8.75,0.00048125,41.03,42.1
0.037000000000000005,4.10959,8.75,0.0005395833333333334,41.03,42.1
0.037000000000000005,4.10959,8.75,0.0005395833333333334,41.03,42.1
0.037000000000000005,4.10796,8.75,0.0005395833333333334,41.03,42.1
0.040999999999999995,4.10796,8.75,0.0005979166666666666,41.03,42.1
0.040999999999999995,4.10796,8.75,0.0005979166666666666,41.03,42.1
0.040999999999999995,4.106269999999999,8.75,0.0005979166666666666,41.03,42.1
0.045,4.106269999999999,8.75,0.0006562499999999999,41.03,42.1
0.045,4.106269999999999,8.75,0.0006562499999999999,41.03,42.1
0.045,4.10452,8.75,0.0006562499999999999,41.03,42.1
0.05,4.10452,8.75,0.0007291666666666667,41.03,42.1
0.05,4.10452,8.75,0.0007291666666666667,41.03,42.1
0.05,4.10271,8.75,0.0007291666666666667,41.03,42.1
0.055,4.10271,8.75,0.0008020833333333334,41.03,42.1
0.055,4.10271,8.75,0.0008020833333333334,41.03,42.1
0.055,4.10082,8.75,0.0008020833333333334,41.03,42.1
0.061,4.10082,8.75,0.0008895833333333333,41.03,42.1
