Time (min),Cell pot(V),Curr den (A/m^2),Capacity,Energy,Power
0.0,3.7115199999999997,52.5,0.0,27.12,179.31
0.0,3.6483,52.5,0.0,27.12,179.31
0.0,3.6483,52.5,0.0,27.12,179.31
0.0,3.6483,52.5,0.0,27.12,179.31
0.0,3.6301699999999997,52.5,0.0,27.12,179.31
0.001,3.6301699999999997,52.5,8.75e-05,27.12,179.31
0.001,3.6301699999999997,52.5,8.75e-05,27.12,179.31
0.001,3.6185099999999997,52.5,8.75e-05,27.12,179.31
0.001,3.6185099999999997,52.5,8.75e-05,27.12,179.31
0.001,3.6185099999999997,52.5,8.75e-05,27.12,179.31
0.001,3.6094199999999996,52.5,8.75e-05,27.12,179.31
0.001,3.6094199999999996,52.5,8.75e-05,27.12,179.31
0.001,3.6094199999999996,52.5,8.75e-05,27.12,179.31
0.001,3.6016800000000004,52.5,8.75e-05,27.12,179.31
0.002,3.6016800000000004,52.5,0.000175,27.12,179.31
0.002,3.6016800000000004,52.5,0.000175,27.12,179.31
0.002,3.59476,52.5,0.000175,27.12,179.31
0.002,3.59476,52.5,0.000175,27.12,179.31
0.002,3.59476,52.5,0.000175,27.12,179.31
0.002,3.58839,52.5,0.000175,27.12,179.31
0.003,3.58839,52.5,0.0002625,27.12,179.31
0.003,3.58839,52.5,0.0002625,27.12,179.31
0.003,3.5824,52.5,0.0002625,27.12,179.31
0.003,3.5824,52.5,0.0002625,27.12,179.31
0.003,3.5824,52.5,0.0002625,27.12,179.31
0.003,3.5766699999999996,52.5,0.0002625,27.12,179.31
0.004,3.5766699999999996,52.5,0.00035,27.12,179.31
0.004,3.5766699999999996,52.5,0.00035,27.12,179.31
0.004,3.57115,52.5,0.00035,27.12,179.31
0.005,3.57115,52.5,0.0004375,27.12,179.31
0.005,3.57115,52.5,0.0004375,27.12,179.31
0.005,3.5657699999999997,52.5,0.0004375,27.12,179.31
0.006,3.5657699999999997,52.5,0.000525,27.12,179.31
0.006,3.5657699999999997,52.5,0.000525,27.12,179.31
0.006,3.56049,52.5,0.000525,27.12,179.31
0.006999999999999999,3.56049,52.5,0.0006124999999999999,27.12,179.31
0.006999999999999999,3.56049,52.5,0.0006124999999999999,27.12,179.31
0.006999999999999999,3.5553,52.5,0.0006124999999999999,27.12,179.31
0.006999999999999999,3.5553,52.5,0.0006124999999999999,27.12,179.31
0.006999999999999999,3.5553,52.5,0.0006124999999999999,27.12,179.31
0.006999999999999999,3.55015,52.5,0.0006124999999999999,27.12,179.31
0.009000000000000001,3.55015,52.5,0.0007875,27.12,179.31
0.009000000000000001,3.55015,52.5,0.0007875,27.12,179.31
0.009000000000000001,3.54504,52.5,0.0007875,27.12,179.31
0.01,3.54504,52.5,0.000875,27.12,179.31
0.01,3.54504,52.5,0.000875,27.12,179.31
0.01,3.5399599999999998,52.5,0.000875,27.12,179.31
0.011000000000000001,3.5399599999999998,52.5,0.0009625,27.12,179.31
0.011000000000000001,3.5399599999999998,52.5,0.0009625,27.12,179.31
0.011000000000000001,3.5348900000000003,52.5,0.0009625,27.12,179.31
0.012,3.5348900000000003,52.5,0.00105,27.12,179.31
0.012,3.5348900000000003,52.5,0.00105,27.12,179.31
0.012,3.5298300000000005,52.5,0.00105,27.12,179.31
0.013999999999999999,3.5298300000000005,52.5,0.0012249999999999997,27.12,179.31
0.013999999999999999,3.5298300000000005,52.5,0.0012249999999999997,27.12,179.31
0.013999999999999999,3.5247699999999997,52.5,0.0012249999999999997,27.12,179.31
0.016,3.5247699999999997,52.5,0.0014,27.12,179.31
0.016,3.5247699999999997,52.5,0.0014,27.12,179.31
0.016,3.5197,52.5,0.0014,27.12,179.31
0.017,3.5197,52.5,0.0014875,27.12,179.31
0.017,3.5197,52.5,0.0014875,27.12,179.31
0.017,3.5146300000000004,52.5,0.0014875,27.12,179.31
0.019,3.5146300000000004,52.5,0.0016625,27.12,179.31
0.019,3.5146300000000004,52.5,0.0016625,27.12,179.31
0.019,3.50956,52.5,0.0016625,27.12,179.31
0.022000000000000002,3.50956,52.5,0.001925,27.12,179.31
0.022000000000000002,3.50956,52.5,0.001925,27.12,179.31
0.022000000000000002,3.5044800000000005,52.5,0.001925,27.12,179.31
0.024,3.5044800000000005,52.5,0.0021,27.12,179.31
0.024,3.5044800000000005,52.5,0.0021,27.12,179.31
0.024,3.4994099999999997,52.5,0.0021,27.12,179.31
0.027000000000000003,3.4994099999999997,52.5,0.0023625000000000005,27.12,179.31
0.027000000000000003,3.4994099999999997,52.5,0.0023625000000000005,27.12,179.31
0.027000000000000003,3.4943400000000002,52.5,0.0023625000000000005,27.12,179.31
0.03,3.4943400000000002,52.5,0.0026249999999999997,27.12,179.31
0.03,3.4943400000000002,52.5,0.0026249999999999997,27.12,179.31
0.03,3.4892800000000004,52.5,0.0026249999999999997,27.12,179.31
0.033,3.4892800000000004,52.5,0.0028875000000000003,27.12,179.31
0.033,3.4892800000000004,52.5,0.0028875000000000003,27.12,179.31
0.033,3.4842400000000002,52.5,0.0028875000000000003,27.12,179.31
0.037000000000000005,3.4842400000000002,52.5,0.0032375000000000004,27.12,179.31
0.037000000000000005,3.4842400000000002,52.5,0.0032375000000000004,27.12,179.31
0.037000000000000005,3.4792400000000003,52.5,0.0032375000000000004,27.12,179.31
0.040999999999999995,3.4792400000000003,52.5,0.0035875,27.12,179.31
0.040999999999999995,3.4792400000000003,52.5,0.0035875,27.12,179.31
0.040999999999999995,3.4742900000000003,52.5,0.0035875,27.12,179.31
0.045,3.4742900000000003,52.5,0.0039375,27.12,179.31
0.045,3.4742900000000003,52.5,0.0039375,27.12,179.31
0.045,3.46939,52.5,0.0039375,27.12,179.31
0.05,3.46939,52.5,0.004375,27.12,179.31
0.05,3.46939,52.5,0.004375,27.12,179.31
